"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "YAML", "CSS", "comment", "blank", "total"
"/Users/0xbrad/wow-3/app/create/talkabout/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 390, 0, 0, 8, 16, 414
"/Users/0xbrad/wow-3/app/create/talkabout/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 5, 3, 51
"/Users/0xbrad/wow-3/app/create/vocab/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 469, 0, 0, 5, 13, 487
"/Users/0xbrad/wow-3/app/create/vocab/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 5, 3, 51
"/Users/0xbrad/wow-3/app/current-lesson.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 134, 0, 0, 4, 9, 147
"/Users/0xbrad/wow-3/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 56, 0, 7, 63
"/Users/0xbrad/wow-3/app/imgtalk/[scenarioId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 6, 13, 78
"/Users/0xbrad/wow-3/app/imgtalk/[scenarioId]/start.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 7, 48
"/Users/0xbrad/wow-3/app/imgtalk/chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 334, 0, 0, 31, 38, 403
"/Users/0xbrad/wow-3/app/imgtalk/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 9, 2, 40
"/Users/0xbrad/wow-3/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 4, 56
"/Users/0xbrad/wow-3/app/learn/word/[word]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 5, 1, 43
"/Users/0xbrad/wow-3/app/lessonInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 3, 42
"/Users/0xbrad/wow-3/app/organization-list/[[...organization-list]]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/Users/0xbrad/wow-3/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 4, 11, 100
"/Users/0xbrad/wow-3/app/pageBackUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 3, 11, 121
"/Users/0xbrad/wow-3/app/playground/[apiName]/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 2, 7, 93
"/Users/0xbrad/wow-3/app/playground/[apiName]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 36
"/Users/0xbrad/wow-3/app/price/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 2, 3, 24
"/Users/0xbrad/wow-3/app/prochat/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 6, 13, 84
"/Users/0xbrad/wow-3/app/prochat2/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 77, 0, 0, 2, 8, 87
"/Users/0xbrad/wow-3/app/repeat/[threadId]/[recordId]/[index]/correct.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 3, 5, 31
"/Users/0xbrad/wow-3/app/repeat/[threadId]/[recordId]/[index]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 9, 55
"/Users/0xbrad/wow-3/app/repeat/[threadId]/[recordId]/[index]/text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 217, 0, 0, 13, 22, 252
"/Users/0xbrad/wow-3/app/repeat/[threadId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 1, 2, 18
"/Users/0xbrad/wow-3/app/scenario/[scenarioId]/[characterId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 5, 6, 62
"/Users/0xbrad/wow-3/app/scenario/[scenarioId]/[characterId]/start.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 29
"/Users/0xbrad/wow-3/app/scenario/[scenarioId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 3, 9, 70
"/Users/0xbrad/wow-3/app/scenario/[scenarioId]/start.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 7, 47
"/Users/0xbrad/wow-3/app/scenario/chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 334, 0, 0, 31, 38, 403
"/Users/0xbrad/wow-3/app/scenario/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 9, 2, 40
"/Users/0xbrad/wow-3/app/story/[threadId]/[index]/bravo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 9, 59
